"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02"
"Connecticut",29,,,278000,275000,279000,279900,274900,275000,275000,278130,274900,269000,269000,269900,269900,274900,275000,275000,270000,267000,265000,259900,259900,259000,250000,259900,259900,265000,269900,269900,265900,259900,260000,259900,259900,250000,250000,259900,269000,275000,279900,279900,275000,269900,269625,268000,260000,259900,254900,259900,269000,275500,279900,279900,279000,269900,269900,269900,264900,259000,259900,264900,269900,279500,279900,280000,279900,274900,279000,275000,274900,269500,269900,274900,279999,289900,290900,294900,289900,285000,288565,285000,285000,279900,279900,285000
"Iowa",30,132500,134900,137500,139900,139900,138900,138500,137500,136900,135000,132000,129900,127000,125000,129000,129000,129900,129900,129900,128900,125000,125000,125000,120000,120000,124900,126350,127950,128900,128500,127500,125000,124900,124900,129900,129900,129900,130000,134900,135000,138500,138500,136000,134900,132500,131900,129900,129900,129900,131900,136500,139900,139900,140000,139900,139900,138000,137400,137400,135000,137500,139500,143000,147400,155000,155900,154900,150000,149900,149900,149000,145000,148000,149900,155000,159000,159900,163500,163000,159900,159900,159900,155000,150000,155000,159900
"Mississippi",31,150000,151900,149900,150000,152000,149999,149900,149900,149900,149500,149000,145000,143900,139900,144000,145000,147000,148750,148000,148775,147000,145000,142000,139900,139900,139900,142000,140000,139900,139900,139900,139900,139900,139900,146500,145000,148000,148900,149400,149900,150000,151900,153000,150000,150777,150000,149900,149900,149900,149900,150000,154900,155000,156900,155000,155500,155000,155000,153900,149900,154900,157500,159000,159900,160000,159900,159900,159900,164000,159000,157000,155000,155000,154900,157000,159500,159900,162000,162000,160000,159900,159900,161900,159900,159900,160000
"Arkansas",32,139900,139900,139500,139500,139900,142500,140000,140000,144000,141000,139900,138725,134000,129900,133000,134900,135000,135000,135000,136725,137900,139500,139900,139900,139900,142500,139900,137700,139900,142500,144000,144500,139900,139900,144925,143123,143500,144900,145000,147500,148000,147925,145000,144900,144900,142000,140000,139900,139800,139900,140000,142500,144000,145000,145000,145000,145000,145000,144900,144500,144900,147000,149500,149000,152000,153800,155000,152900,149999.5,150000,149900,149900,149900,149900,149989,150000,155000,155000,156900,154900,152150,150000,149900,149900,149900,150000
"Kansas",33,149000,149900,149950,150000,149900,149900,146900,145000,145000,142500,139900,134900,130000,129900,134000,135000,139000,139000,137000,135000,134000,133900,130000,129900,129000,129925,134900,137000,134950,129950,125925,124900,120000,119900,129000,125000,125000,129000,130000,134900,135000,135000,135000,135000,134900,132500,130000,129900,129900,130000,135000,140000,145000,145000,144000,139900,139000,138050,137900,135000,136000,139000,149900,157000,164500,162000,159900,152500,154500,152500,149900,148400,145000,149900,155000,159500,159900,159950,159900,155000,150000,150000,149900,145000,145000,149500
"Utah",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233000,235000,235000,237500,235000,235000,239000,234900,237000,239000,245000,249900,249900,250000,250000,252856,250000,249900,249900,259900,259900,265000,269992,274900,279900,280000,284900,285000,285000,289000,292900,295000,295000,299900,299000,299000,299900,299000,299500,299900,299900,3e+05,308900,308000,310000
"Nevada",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,189000,185000,187000,192500,198900,2e+05,205794,208690,215000,219000,219000,214900,214900,214900,219000,222888,225000,231749.5,232750,235000,236500,239000,237490,239000,237000,235000,230000,239000,244000,249040,250000,254900,255000,259000,259747,259900,259900,260000,264990
"New Mexico",36,221900,220000,219900,219500,219900,219000,217095.5,215000,219000,205000,199900,196500,189500,184000,185000,184900,187900,185000,186200,184900,184990,183500,180000,179000,175500,174900,174000,173000,174000,175000,174900,174900,170000,169900,192970,189900,189900,190000,190000,198500,199970,205000,203000,2e+05,2e+05,199925,199000,199000,195000,195000,199000,199900,204900,204900,204900,205000,204935,2e+05,199900,199000,199000,199000,199900,204000,210000,215000,215000,215000,215000,210900,203000,2e+05,199900,2e+05,208000,210000,215000,216000,219000,218490,215000,215000,209900,208500,205000,205000
"West Virginia",37,149900,150000,153825,150000,150000,150000,149900,149950,149900,149900,145900,143500,140000,139900,142000,144900,145000,148000,148000,145000,140000,139900,139900,139000,139900,139000,139900,139900,139900,139900,139500,139000,137400,137500,139000,138850,139900,139900,143250,145000,145900,145000,145550,145000,142000,139900,135900,139900,139900,139900,145000,149900,149900,152400,150000,150000,149900,149900,149900,149900,149000,149200,149900,150000,154900,154500,150000,150000,150000,150000,150000,149900,149900,149900,150000,155000,159000,159000,155250,154900,150000,149900,149900,149000,145000,147680
"Nebraska",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,140000,139900,139500,137500,138000,138000,134950,134900,135000,135900,140000,145000,149500,149850,148925,149500,148500,145000,144500,140000,142900,149000,155000,160000,169000,167900,164500,163900,162000,160000,162145,162000,159950,165000,174120,178715,179900,176250,178000,172000,172000,173000,172250,169900,172700,176950
"Idaho",39,147900,149900,149900,149000,149500,149855,149900,154900,159000,154900,149000,145000,139000,135000,130000,130500,137700,135000,139500,140000,139500,135000,133500,129900,130000,133500,137900,139900,145000,145000,144900,149000,144900,145000,171095,169900,172500,174900,179000,184900,189500,189900,190247,189990,192000,189900,183825,165000,165990,175290,180000,189000,189990,194900,195682.5,195000,195000,194990,190000,189900,189990,190000,195000,212900,210209,219000,219900,219900,220000,223000,224000,224900,224900,222900,220000,226772,235000,239900,240000,239900,240000,243900,241000,243922.5,245000,249000
"Hawaii",40,479900,479000,469000,470000,475000,475000,469900,495000,499000,455000,410000,395000,399000,389000,388000,359000,365000,375000,399900,433500,434500,430000,420000,425000,429000,435000,435000,445000,419000,399000,396000,390050,389250,385000,440000,449000,469000,479500,475000,480000,475000,469000,495000,499000,499000,499000,499000,515000,515000,520000,510000,518944,525000,519000,525000,525000,524900,5e+05,525000,525000,535000,539500,539000,540000,525000,549000,549000,549700,549000,549000,550000,549000,565000,539000,565000,575000,575000,589000,590000,588888,593000,589000,595000,595000,599000,595000
"Maine",41,205000,2e+05,199998,2e+05,209900,209900,209000,209800,205000,2e+05,199900,199000,197000,197000,199000,199000,199900,199900,199900,199000,199000,199000,190000,189000,184500,187000,189900,195000,191450,194900,197500,195000,195000,187500,195000,192000,189900,189900,189900,196500,199000,199500,199000,198000,197819,197900,192950,189900,189000,189000,190600,197700,199900,199900,199900,199900,199900,199000,199000,197000,194900,191800,199000,199900,203700,205000,209900,208825,204000,207000,2e+05,199900,199000,198250,199900,210000,219000,219000,219500,219900,220000,219900,219000,214900,209900,214900
"New Hampshire",42,239900,239900,239000,239500,244900,244900,239000,235000,229900,232900,239000,229900,225000,221500,217250,224000,229000,225000,225000,224893.5,219900,219900,215900,209900,205000,204900,216700,218900,220000,219900,219900,219900,217500,215000,221500,219900,219900,220900,225000,229900,234900,235000,234900,230000,229900,229900,229000,225900,224900,220000,229900,235000,239900,243950,242700,239900,239900,239900,239900,239000,239000,237900,239000,245000,249850,249900,249500,247500,247000,244900,245000,244900,239900,242000,249900,254900,259000,259900,264250,259900,259900,259900,259900,259900,260000,264900
"Rhode Island",43,249900,249900,249900,257900,259000,257500,259000,259900,260000,255000,249000,242250,239000,237500,229900,229900,229900,229900,229000,229900,229010,225000,220000,217000,219000,219000,225000,229000,235000,239000,239000,239000,239000,239900,240000,239900,239900,239900,244900,252000,255000,259900,254900,254900,259000,254900,249900,249900,248999.5,249900,249900,259900,264900,264900,269900,263900,259900,259000,250000,249900,249900,249900,249950,259900,269000,270000,275000,275000,269900,269900,269900,265838.5,260000,259900,269900,274000,279900,279900,284900,279900,279000,278000,274900,269900,269000,274900
"Montana",44,249000,248500,245000,244900,245000,245000,245000,245000,245000,239900,234900,239000,235000,230000,219000,212900,214900,214900,219900,229500,229000,227000,224900,219900,219500,219000,219900,222500,219900,220000,224000,220900,224000,219000,229900,225000,225000,235000,239000,249900,259850,264000,261500,259900,269000,265000,264900,265000,269000,262700,260000,259900,265000,265000,265000,259900,264304,260000,269000,268900,272500,274900,269000,275000,279900,284500,286500,283000,285000,285000,285000,285000,279900,279900,279000,279900,284900,285000,285000,287900,289000,287500,284900,285000,285000,285000
"Delaware",45,229900,229900,229900,230000,225000,225000,224900,224900,229000,225000,225000,224000,220000,220000,220000,219900,219990,199900,194990,189900,189900,189000,189900,189900,189900,199900,215900,224900,220990,220000,222500,225000,225000,224900,230000,229990,239990,239000,239990,244900,249900,240000,244900,245000,249900,249000,242990,244900,242990,248990,248945,251995,255000,256900,254900,256900,259900,255650,256990,254990,254945,255000,259900,259900,259900,259900,259900,259900,269900,269000,265000,264900,265000,264990,265900,269900,269900,269000,268990,265000,259900,258900,254900,252900,249900,250000
"South Dakota",46,172250,169900,168000,165500,169000,169900,169900,169900,165900,164900,164900,163500,159900,159987,157900,157900,164900,163900,162000,159900,160000,159900,159900,159900,159900,159900,160000,159900,159900,159900,159900,159900,159000,156900,159000,159000,157900,159900,161900,164900,167500,169900,169900,169900,169900,169900,169000,167850,169900,169900,172000,172950,174900,175900,179000,177900,179000,175500,174500,169900,169900,169900,176500,179500,188893.5,189900,198500,197500,194900,190000,189900,189900,190000,191825,194900,199900,199900,204490,199900,199900,199900,199900,199900,2e+05,2e+05,205000
"Alaska",47,238500,239900,245000,248000,250000,254900,249900,249900,250000,249000,234900,230000,225000,229000,232000,235000,237000,235000,235000,235000,232500,229999,229500,228500,228950,227500,225000,229000,229900,229000,225000,229000,225000,223500,235000,234900,235000,239000,242525,247250,249000,243500,249000,249000,247000,245700,239900,239500,239000,247000,249000,250000,250000,255950,250000,250000,249000,249000,243000,241212.5,247500,249900,259000,259900,260000,260000,264900,264700,265000,266000,265000,265000,265000,272500,275000,279900,279900,279900,279000,279000,279500,275000,273950,269900,265000,265544
"Vermont",48,245000,243900,245000,244900,249000,249900,249900,249000,249000,247900,247900,240000,240000,239000,239000,239000,239900,239900,239900,239900,240000,240000,239900,239500,239500,239000,239000,239000,239000,239000,239000,235000,230000,230000,229500,229000,229900,234900,230000,235000,235000,234900,234900,234900,230000,230000,229900,229000,229650,229900,235000,235000,239000,239700,239000,235000,235000,234900,235000,234000,229500,230000,230000,231950,235000,238900,235950,236700,235000,238000,235513,235526,235000,237700,239000,239900,240000,245000,245000,240000,239900,239900,240000,239900,239900,239900
"District of Columbia",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349000,360000,379000,409000,399900,399250,415000,419325,428850,450000,469900,459700,447000,452499.5,469900,469900,455000,446000,445000,449250,465000,452450,449990,449000,439000,450000,459950,449900,437000,435990,439900,456000,479000,499000,490000,460000,475000,490000,499000,489000,489000,496000,509000,519750,549900,549900,559900,569000,549900,549775,551450,549000,549000,549000,539000
"Wyoming",50,219000,209000,209900,207000,209900,205000,209000,209000,210000,205000,204000,199500,199900,197500,198900,199000,2e+05,204900,209000,209900,217000,218000,219500,215000,219000,209000,209000,212000,214900,215000,218500,219900,215000,214500,213900,214900,215000,215000,215000,216400,219500,219900,219900,219500,224500,219900,216000,218850,218000,224900,224900,225000,229500,234500,233000,235000,239950,235000,237000,239000,235000,232500,230950,229900,234700,235000,239900,239900,239900,239900,239900,239000,233000,234900,235000,235200,239000,241900,242225,239900,240000,239600,237900,235000,232500,232000
